Tactic,Techniques,Description of Threat,Cloud Logging Query,Splunk query
Initial Access,Exploit Public-Facing Application,"Public IP assigned to Compute Engine. Applies to GCE, GKE, Dataproc","protoPayload.authorizationInfo.permission=""compute.subnetworks.useExternalIp""",
Initial Access,Exploit Public-Facing Application,Google Storage Bucket with IAM policy of allUsers,"protoPayload.authorizationInfo.permission=""storage.buckets.setIamPolicy"" AND protoPayload.serviceData.policyDelta.bindingDeltas.member=""allUsers""",
Initial Access,Exploit Public-Facing Application,Google Storage Bucket with IAM policy of allAuthenticatedUsers,"protoPayload.authorizationInfo.permission=""storage.buckets.setIamPolicy"" AND protoPayload.serviceData.policyDelta.bindingDeltas.member=""allAuthenticatedUsers""",
Initial Access,Exploit Public-Facing Application,Google Storage Object with IAM policy of allUsers,"protoPayload.authorizationInfo.permission=""storage.objects.update"" AND protoPayload.serviceData.policyDelta.bindingDeltas.member=""allUsers""",
Initial Access,Exploit Public-Facing Application,Google Storage Object with IAM policy of allAuthenticatedUsers,"protoPayload.authorizationInfo.permission=""storage.objects.update"" AND protoPayload.serviceData.policyDelta.bindingDeltas.member=""allAuthenticatedUsers""",
Initial Access,Exploit Public-Facing Application,Update Organizational Policy Constraint to allow external IPs,"protoPayload.authorizationInfo.permission=""orgpolicy.policy.set"" AND protoPayload.request.policy.constraint=""constraints/compute.vmExternalIpAccess"" AND protoPayload.request.policy.listPolicy.allValues=""ALLOW""",
Initial Access,Exploit Public-Facing Application,Ingress firewall rule open to 0.0.0.0/0,"protoPayload.authorizationInfo.permission=""compute.firewalls.create"" AND protoPayload.request.direction=""INGRESS"" AND protoPayload.request.sourceRanges=""0.0.0.0/0""",
Initial Access,Exploit Public-Facing Application,Egress Firewall rule open to 0.0.0.0/0,"protoPayload.authorizationInfo.permission=""compute.firewalls.create"" AND protoPayload.request.direction=""EGRESS"" AND protoPayload.request.destinationRanges=""0.0.0.0/0""",
Initial Access,Exploit Public-Facing Application,Exteral IP address created,"protoPayload.authorizationInfo.permission=""compute.globalAddresses.create""",
Initial Access,Exploit Public-Facing Application,Monitor Organizational Policy Constraint for Load Balancer options,"protoPayload.authorizationInfo.permission=""orgpolicy.policy.set"" AND protoPayload.request.policy.constraint=""constraints/compute.restrictLoadBalancerCreationForTypes""",
